trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
97,False,"{'a': 0.002, 'e': 0.8236579042685769}",25,0,-177.23876252882138,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
98,False,"{'a': 0.002, 'e': 0.8220122346781865}",25,0,-105.42093306229302,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
99,False,"{'a': 0.002, 'e': 0.8203698531378311}",30,0,-109.10536205942358,"{0: 19, 1: 1, 2: 9, 3: 0, 4: 1}",0
100,False,"{'a': 0.002, 'e': 0.8187307530779818}",20,0,-74.18598079611417,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
101,False,"{'a': 0.002, 'e': 0.8170949279422366}",20,0,-130.4240085773442,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
102,False,"{'a': 0.002, 'e': 0.8154623711872927}",25,3,-143.54774308101048,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 3}",1
103,False,"{'a': 0.002, 'e': 0.8138330762829207}",25,0,-175.87563566433238,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 3}",0
104,False,"{'a': 0.002, 'e': 0.812207036711939}",20,0,-48.7518708556608,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
105,False,"{'a': 0.002, 'e': 0.8105842459701871}",20,13,-52.56725066070032,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 1}",1
106,False,"{'a': 0.002, 'e': 0.8089646975664998}",20,11,12.567233850703222,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.002, 'e': 0.8073483850226815}",35,0,-72.22336173807554,"{0: 27, 1: 4, 2: 2, 3: 1, 4: 1}",0
108,False,"{'a': 0.002, 'e': 0.8057353018734796}",30,22,14.06014402957405,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.002, 'e': 0.8041254416665596}",25,0,-119.31855667713131,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
110,False,"{'a': 0.002, 'e': 0.8025187979624785}",25,3,-57.58411897860099,"{0: 17, 1: 1, 2: 2, 3: 1, 4: 1}",1
111,False,"{'a': 0.002, 'e': 0.8009153643346592}",30,9,-177.67487439284145,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 3}",1
112,False,"{'a': 0.002, 'e': 0.7993151343693651}",25,0,-138.96734677629368,"{0: 13, 1: 6, 2: 3, 3: 1, 4: 2}",0
113,False,"{'a': 0.002, 'e': 0.7977181016656743}",25,9,-140.5276772139333,"{0: 7, 1: 1, 2: 5, 3: 1, 4: 2}",1
114,False,"{'a': 0.002, 'e': 0.7961242598354538}",20,0,-37.93596978655004,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
115,False,"{'a': 0.002, 'e': 0.794533602503334}",35,0,-102.33686216390076,"{0: 28, 1: 1, 2: 3, 3: 1, 4: 2}",0
116,False,"{'a': 0.002, 'e': 0.7929461233066837}",35,9,-150.29664757148248,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 3}",1
117,False,"{'a': 0.002, 'e': 0.7913618158955839}",30,0,-133.8963179427616,"{0: 19, 1: 0, 2: 8, 3: 2, 4: 1}",0
118,False,"{'a': 0.002, 'e': 0.7897806739328027}",20,6,-18.193607114017514,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
119,False,"{'a': 0.002, 'e': 0.7882026910937704}",25,0,-136.79655050294207,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 3}",0
120,False,"{'a': 0.002, 'e': 0.7866278610665535}",20,0,-65.44479179704776,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
